sample,energy_map,cutoff_nm,dG_eV,f110,eps,reactive,theta_bri,reconstructed_fraction,N_bridging_umol_g,N_reconstructed_row_umol_g,N_basal_L1_umol_g,N_L1_subbridging_umol_g,N_subsurface_L2_4_umol_g,N_bulk_umol_g,N_react_umol_g,TOF_s_1,site_class,flags,Q_vs_R600,Q_ref_below_threshold
R800,PAB,0.28,-0.4,0.75,107 (c_axis),BRI,0.123366,0.346313,0.618177,1.3266,1.75411e-06,0.652658,0.0807256,190.422,0.618177,3.25149,OK,,0.553016,
R800,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z2,0.123366,0.346313,0.618177,1.3266,1.75411e-06,0.652658,0.0807256,190.422,0.475083,4.23084,OK,,0.583349,
R800,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z4,0.123366,0.346313,0.618177,1.3266,1.75411e-06,0.652658,0.0807256,190.422,0.365112,5.50516,OK,,0.615343,
R800,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z8,0.123366,0.346313,0.618177,1.3266,1.75411e-06,0.652658,0.0807256,190.422,0.215645,9.32088,OK,,0.684694,
R800,PAB,0.28,-0.4,0.75,107 (c_axis),BRI+BASAL,0.123366,0.346313,0.618177,1.3266,1.75411e-06,0.652658,0.0807256,190.422,0.618179,3.25148,OK,,0.553015,
R1000,PAB,0.28,-0.4,0.75,107 (c_axis),BRI,0.187313,0.835925,0.235615,3.20348,6.8422e-06,1.68152,0.33824,775.741,0.235615,0.192687,OK,YUAN_STRONG_REDUCTION,0.0327724,
R1000,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z2,0.187313,0.835925,0.235615,3.20348,6.8422e-06,1.68152,0.33824,775.741,0.155621,0.291734,OK,YUAN_STRONG_REDUCTION,0.0402243,
R1000,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z4,0.187313,0.835925,0.235615,3.20348,6.8422e-06,1.68152,0.33824,775.741,0.102786,0.441696,OK,YUAN_STRONG_REDUCTION,0.0493709,
R1000,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z8,0.187313,0.835925,0.235615,3.20348,6.8422e-06,1.68152,0.33824,775.741,0.0448396,1.0125,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0743763,
R1000,PAB,0.28,-0.4,0.75,107 (c_axis),BRI+BASAL,0.187313,0.835925,0.235615,3.20348,6.8422e-06,1.68152,0.33824,775.741,0.235622,0.192681,OK,YUAN_STRONG_REDUCTION,0.0327714,
R1100,PAB,0.28,-0.4,0.75,107 (c_axis),BRI,0.239327,0.936066,0.117315,3.58736,1.08978e-05,2.2099,0.601676,1336.48,0.117315,0.20739,OK,YUAN_STRONG_REDUCTION,0.035273,
R1100,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z2,0.239327,0.936066,0.117315,3.58736,1.08978e-05,2.2099,0.601676,1336.48,0.0678836,0.358408,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0494173,
R1100,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z4,0.239327,0.936066,0.117315,3.58736,1.08978e-05,2.2099,0.601676,1336.48,0.0392803,0.619394,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0692332,
R1100,PAB,0.28,-0.4,0.75,107 (c_axis),ISO_z8,0.239327,0.936066,0.117315,3.58736,1.08978e-05,2.2099,0.601676,1336.48,0.0131521,1.84989,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.135889,
